set,index,formula,n_atoms,mean,max,unseen_element_atoms
rot1 GFN2 MD/normal modes,30,C60H58F14N2O10,144,0.0004062078382874636,0.0035053410564721554,0
rot1 GFN2 MD/normal modes,31,C60H58F14N2O10,144,0.00031947261869604004,0.0017756395949423132,0
rot1 GFN2 MD/normal modes,32,C60H58F14N2O10,144,0.0003167148303227777,0.0017521718673781939,0
rot1 GFN2 MD/normal modes,33,C60H58F14N2O10,144,0.00026979033608128905,0.0017445937361054709,0
rot1 GFN2 MD/normal modes,34,C60H58F14N2O10,144,0.0003681228004964847,0.002656722993383931,0
rot1 GFN2 MD/normal modes,35,C60H58F14N2O10,144,0.0002713220275038285,0.0016920951787119387,0
rot1 GFN2 MD/normal modes,36,C60H58F14N2O10,144,0.00024611874737419923,0.0011406597714274103,0
rot1 GFN2 MD/normal modes,37,C60H58F14N2O10,144,0.00024461861991234416,0.0014073099796357846,0
rot1 GFN2 MD/normal modes,38,C60H58F14N2O10,144,0.00036624172078331975,0.007827120581639369,0
rot1 GFN2 MD/normal modes,39,C60H58F14N2O10,144,0.00022545583689460548,0.0013246393973328496,0
rot1 GFN2 MD/normal modes,40,C60H58F14N2O10,144,0.0003215280074921727,0.0024829151540738392,0
rot1 GFN2 MD/normal modes,41,C60H58F14N2O10,144,0.00045754099416750693,0.010104822222324561,0
rot1 GFN2 MD/normal modes,42,C60H58F14N2O10,144,0.00039257546451590793,0.0024932219414250945,0
rot1 GFN2 MD/normal modes,43,C60H58F14N2O10,144,0.0003628108938407503,0.0020368692849261905,0
rot1 GFN2 MD/normal modes,44,C60H58F14N2O10,144,0.0003939176094697669,0.0047952536949061875,0
rot1 GFN2 MD/normal modes,45,C60H58F14N2O10,144,0.000384716395576682,0.0023684636324322605,0
rot1 GFN2 MD/normal modes,46,C60H58F14N2O10,144,0.00036211966110807285,0.004791124700573857,0
rot1 GFN2 MD/normal modes,47,C60H58F14N2O10,144,0.00030698434892890053,0.0019392950447865154,0
rot1 GFN2 MD/normal modes,48,C60H58F14N2O10,144,0.000253724255635478,0.001325982103775436,0
rot1 GFN2 MD/normal modes,49,C60H58F14N2O10,144,0.00034593618132788443,0.0014203564312054162,0
rot1 GFN2 MD/normal modes,50,C60H58F14N2O10,144,0.00032997879709159187,0.00213944919567155,0
rot1 GFN2 MD/normal modes,51,C60H58F14N2O10,144,0.00032215532667559003,0.0024004506053836305,0
rot1 GFN2 MD/normal modes,52,C60H58F14N2O10,144,0.0002713141633211885,0.00186246776746668,0
rot1 GFN2 MD/normal modes,53,C60H58F14N2O10,144,0.00030371469144391646,0.0023244336143017907,0
rot1 GFN2 MD/normal modes,54,C60H58F14N2O10,144,0.0002270280221210938,0.0013187166574725184,0
rot1 GFN2 MD/normal modes,55,C60H58F14N2O10,144,0.0003145516279448575,0.002794863805700709,0
rot1 GFN2 MD/normal modes,56,C60H58F14N2O10,144,0.0003295428571749558,0.0017618189419470465,0
rot1 GFN2 MD/normal modes,57,C60H58F14N2O10,144,0.00028034977351914836,0.0020828822348566423,0
rot1 GFN2 MD/normal modes,58,C60H58F14N2O10,144,0.00034070147922307594,0.0019424689801207373,0
rot1 GFN2 MD/normal modes,59,C60H58F14N2O10,144,0.00035289810630503,0.0018595291539748038,0
rot1 GFN2 MD/normal modes,60,C60H58F14N2O10,144,0.00039218078044457746,0.002115142774896328,0
rot1 GFN2 MD/normal modes,61,C60H58F14N2O10,144,0.00035903032103025656,0.0018346751422908536,0
