set,index,formula,n_atoms,mean,max,unseen_element_atoms
rot1 GFN2 MD/normal modes,31,C60H58F14N2O10,144,0.003420348633308249,0.017523796312203355,0
rot1 GFN2 MD/normal modes,32,C60H58F14N2O10,144,0.0036564532665784456,0.018912090397636305,0
rot1 GFN2 MD/normal modes,33,C60H58F14N2O10,144,0.002759234961416122,0.02898464624866859,0
rot1 GFN2 MD/normal modes,34,C60H58F14N2O10,144,0.004520998538255935,0.07276523831659854,0
rot1 GFN2 MD/normal modes,35,C60H58F14N2O10,144,0.002886711481823922,0.032720675816972355,0
rot1 GFN2 MD/normal modes,36,C60H58F14N2O10,144,0.002318320756194803,0.009470290864895925,0
rot1 GFN2 MD/normal modes,37,C60H58F14N2O10,144,0.002283066652925901,0.012732648801861313,0
rot1 GFN2 MD/normal modes,38,C60H58F14N2O10,144,0.00463463586054865,0.1552456934481775,0
rot1 GFN2 MD/normal modes,39,C60H58F14N2O10,144,0.0021453676650150483,0.012727743699879057,0
rot1 GFN2 MD/normal modes,40,C60H58F14N2O10,144,0.003842662284220839,0.023501269882236997,0
rot1 GFN2 MD/normal modes,41,C60H58F14N2O10,144,0.006561779055027764,0.1968808320080795,0
rot1 GFN2 MD/normal modes,42,C60H58F14N2O10,144,0.004484834233303736,0.03225274486800389,0
rot1 GFN2 MD/normal modes,43,C60H58F14N2O10,144,0.004008884848506495,0.026904237550531174,0
rot1 GFN2 MD/normal modes,44,C60H58F14N2O10,144,0.004900283294527031,0.08778721128005751,0
rot1 GFN2 MD/normal modes,45,C60H58F14N2O10,144,0.004420108070280257,0.043207356735468605,0
rot1 GFN2 MD/normal modes,46,C60H58F14N2O10,144,0.0038409726141252713,0.08222054219431474,0
rot1 GFN2 MD/normal modes,47,C60H58F14N2O10,144,0.003219706169089049,0.039356761596035184,0
rot1 GFN2 MD/normal modes,48,C60H58F14N2O10,144,0.0025535664722275767,0.02125671782882399,0
rot1 GFN2 MD/normal modes,49,C60H58F14N2O10,144,0.004028380644353156,0.01623497455991496,0
rot1 GFN2 MD/normal modes,50,C60H58F14N2O10,144,0.003361943081390369,0.029272975898854914,0
rot1 GFN2 MD/normal modes,51,C60H58F14N2O10,144,0.003643949716252216,0.025571319557030958,0
rot1 GFN2 MD/normal modes,52,C60H58F14N2O10,144,0.0032312528649791825,0.1035796783265408,0
rot1 GFN2 MD/normal modes,53,C60H58F14N2O10,144,0.003109092202291936,0.015376176095197258,0
rot1 GFN2 MD/normal modes,54,C60H58F14N2O10,144,0.002114614739063232,0.021870389351634656,0
rot1 GFN2 MD/normal modes,55,C60H58F14N2O10,144,0.0038871196867994915,0.0860993036094061,0
rot1 GFN2 MD/normal modes,56,C60H58F14N2O10,144,0.0038526087473815234,0.03113981098342644,0
rot1 GFN2 MD/normal modes,57,C60H58F14N2O10,144,0.0024862025093683737,0.01223131520516696,0
rot1 GFN2 MD/normal modes,58,C60H58F14N2O10,144,0.00412097935539583,0.03302505042077308,0
rot1 GFN2 MD/normal modes,59,C60H58F14N2O10,144,0.004040217398249035,0.02027854476072577,0
rot1 GFN2 MD/normal modes,60,C60H58F14N2O10,144,0.004831766334760728,0.026496747437034673,0
rot1 GFN2 MD/normal modes,61,C60H58F14N2O10,144,0.0037500792675547756,0.016282668314152482,0
rot1 GFN2 MD/normal modes,62,C60H58F14N2O10,144,0.0027254717665457584,0.01321703935796048,0
rot1 GFN2 MD/normal modes,63,C60H58F14N2O10,144,0.004903026574332823,0.08798717818418023,0
rot1 GFN2 MD/normal modes,64,C60H58F14N2O10,144,0.005296728197596326,0.07501270831475093,0
rot1 GFN2 MD/normal modes,65,C60H58F14N2O10,144,0.00204456365525255,0.008199898894145408,0
rot1 GFN2 MD/normal modes,66,C60H58F14N2O10,144,0.004711697450809355,0.12375553147749319,0
rot1 GFN2 MD/normal modes,67,C60H58F14N2O10,144,0.0022633315201416454,0.014760925139853276,0
rot1 GFN2 MD/normal modes,68,C60H58F14N2O10,144,0.0036993892603490314,0.045099762709447266,0
rot1 GFN2 MD/normal modes,69,C60H58F14N2O10,144,0.002629387844195812,0.03042373791930164,0
rot1 GFN2 MD/normal modes,70,C60H58F14N2O10,144,0.005152436974923248,0.08880167536293093,0
rot1 GFN2 MD/normal modes,71,C60H58F14N2O10,144,0.004183004416305365,0.09335833475661426,0
rot1 GFN2 MD/normal modes,72,C60H58F14N2O10,144,0.003862599036636793,0.05495683857988587,0
rot1 GFN2 MD/normal modes,73,C60H58F14N2O10,144,0.0024229648362001175,0.014989840610970862,0
rot1 GFN2 MD/normal modes,74,C60H58F14N2O10,144,0.003818025157236984,0.015277766208344312,0
rot1 GFN2 MD/normal modes,75,C60H58F14N2O10,144,0.0031569073536831063,0.061883463424859175,0
rot1 GFN2 MD/normal modes,76,C60H58F14N2O10,144,0.002578633571715762,0.016422488352943798,0
rot1 GFN2 MD/normal modes,77,C60H58F14N2O10,144,0.003596725226907848,0.19470251683990414,0
rot1 GFN2 MD/normal modes,78,C60H58F14N2O10,144,0.002353908447959687,0.01658517863491138,0
rot1 GFN2 MD/normal modes,79,C60H58F14N2O10,144,0.0022619884022862394,0.01501856056005002,0
rot1 GFN2 MD/normal modes,80,C60H58F14N2O10,144,0.0038439952295575928,0.023477983380417733,0
rot1 GFN2 MD/normal modes,81,C60H58F14N2O10,144,0.0053750816146198935,0.10138065103194505,0
rot1 GFN2 MD/normal modes,82,C60H58F14N2O10,144,0.0037651855570379525,0.03739509221863224,0
rot1 GFN2 MD/normal modes,83,C60H58F14N2O10,144,0.0026071087782866143,0.013189929621345131,0
rot1 GFN2 MD/normal modes,84,C60H58F14N2O10,144,0.003735962894269488,0.030405567007251166,0
rot1 GFN2 MD/normal modes,85,C60H58F14N2O10,144,0.002898590818425227,0.03892923423229466,0
rot1 GFN2 MD/normal modes,86,C60H58F14N2O10,144,0.004090602075053712,0.04099560211881703,0
rot1 GFN2 MD/normal modes,87,C60H58F14N2O10,144,0.004454715765721022,0.027166847258677684,0
rot1 GFN2 MD/normal modes,88,C60H58F14N2O10,144,0.001973106320767849,0.00850323241039408,0
rot1 GFN2 MD/normal modes,89,C60H58F14N2O10,144,0.0027553990165290424,0.020160713229501748,0
rot1 GFN2 MD/normal modes,90,C60H58F14N2O10,144,0.0028140443768181083,0.05188105834157031,0
rot1 GFN2 MD/normal modes,91,C60H58F14N2O10,144,0.0026859333978122677,0.030289913350783237,0
rot1 GFN2 MD/normal modes,92,C60H58F14N2O10,144,0.0035998901340106187,0.04877233256977276,0
rot1 GFN2 MD/normal modes,93,C60H58F14N2O10,144,0.0025678894523561324,0.019189449068062414,0
rot1 GFN2 MD/normal modes,94,C60H58F14N2O10,144,0.002176521113585848,0.022374577234749782,0
rot1 GFN2 MD/normal modes,95,C60H58F14N2O10,144,0.004263372781776447,0.021407680336431922,0
rot1 GFN2 MD/normal modes,96,C60H58F14N2O10,144,0.0038188488956103655,0.020994328391996775,0
rot1 GFN2 MD/normal modes,97,C60H58F14N2O10,144,0.004277558315894521,0.05821522339672336,0
rot1 GFN2 MD/normal modes,98,C60H58F14N2O10,144,0.004314982597704012,0.0674388475460973,0
rot1 GFN2 MD/normal modes,99,C60H58F14N2O10,144,0.0022800149443066627,0.0085122414147899,0
rot1 GFN2 MD/normal modes,100,C60H58F14N2O10,144,0.0026918839089401176,0.019753374209453,0
rot1 GFN2 MD/normal modes,101,C60H58F14N2O10,144,0.0023368803288144205,0.009890382275786536,0
rot1 GFN2 MD/normal modes,102,C60H58F14N2O10,144,0.004899457884577132,0.08796503674081912,0
rot1 GFN2 MD/normal modes,103,C60H58F14N2O10,144,0.0020578625857222196,0.011657172078777256,0
rot1 GFN2 MD/normal modes,104,C60H58F14N2O10,144,0.004525324081423656,0.08855721547886031,0
rot1 GFN2 MD/normal modes,105,C60H58F14N2O10,144,0.0025002863873703376,0.01701755047812703,0
rot1 GFN2 MD/normal modes,106,C60H58F14N2O10,144,0.00489610610287874,0.08778123996427267,0
rot1 GFN2 MD/normal modes,107,C60H58F14N2O10,144,0.002745627612284658,0.028493365481776944,0
rot1 GFN2 MD/normal modes,108,C60H58F14N2O10,144,0.0031859030976037206,0.09458881508077444,0
rot1 GFN2 MD/normal modes,109,C60H58F14N2O10,144,0.0036611936786087405,0.015757331038895206,0
rot1 GFN2 MD/normal modes,110,C60H58F14N2O10,144,0.004933798548182124,0.1065954307043061,0
rot1 GFN2 MD/normal modes,111,C60H58F14N2O10,144,0.004439666961552584,0.046705079212679745,0
rot1 GFN2 MD/normal modes,112,C60H58F14N2O10,144,0.004896738144787573,0.08773614582562228,0
rot1 GFN2 MD/normal modes,113,C60H58F14N2O10,144,0.002864844714959424,0.03527481601090998,0
rot1 GFN2 MD/normal modes,114,C60H58F14N2O10,144,0.003615501476692304,0.016020544363298916,0
rot1 GFN2 MD/normal modes,115,C60H58F14N2O10,144,0.0013063320932476298,0.008083548565962162,0
rot1 GFN2 MD/normal modes,116,C60H58F14N2O10,144,0.0039508698104354185,0.05459187460784032,0
rot1 GFN2 MD/normal modes,117,C60H58F14N2O10,144,0.0017215569348931472,0.009283341627739583,0
rot1 GFN2 MD/normal modes,118,C60H58F14N2O10,144,0.004475366385340165,0.0950626897295691,0
rot1 GFN2 MD/normal modes,119,C60H58F14N2O10,144,0.004072448650990214,0.026732592460838145,0
rot1 GFN2 MD/normal modes,120,C60H58F14N2O10,144,0.004907423243207603,0.08808093350367452,0
rot1 GFN2 MD/normal modes,121,C60H58F14N2O10,144,0.004438155544172577,0.04260458694711233,0
rot1 GFN2 MD/normal modes,122,C60H58F14N2O10,144,0.0019518468316843342,0.008513171559626276,0
rot1 GFN2 MD/normal modes,123,C60H58F14N2O10,144,0.004154352189228647,0.0227840398048218,0
rot1 GFN2 MD/normal modes,124,C60H58F14N2O10,144,0.003036759445806476,0.014576860442538031,0
rot1 GFN2 MD/normal modes,125,C60H58F14N2O10,144,0.002857033303967525,0.02664361642537183,0
rot1 GFN2 MD/normal modes,126,C60H58F14N2O10,144,0.0022255881430114175,0.01382265189351295,0
rot1 GFN2 MD/normal modes,127,C60H58F14N2O10,144,0.0026915738254512647,0.016783575456247646,0
rot1 GFN2 MD/normal modes,128,C60H58F14N2O10,144,0.004051431587335308,0.025809423292339373,0
rot1 GFN2 MD/normal modes,129,C60H58F14N2O10,144,0.0023315035596238004,0.012309854718407509,0
rot1 GFN2 MD/normal modes,130,C60H58F14N2O10,144,0.002529496225750472,0.03694348985741147,0
