set,index,formula,n_atoms,mean,max,unseen_element_atoms
rot1 GFN2 MD/normal modes,31,C60H58F14N2O10,144,0.0036490258299565034,0.017412512209962205,0
rot1 GFN2 MD/normal modes,32,C60H58F14N2O10,144,0.003912661957970982,0.01989095329532664,0
rot1 GFN2 MD/normal modes,33,C60H58F14N2O10,144,0.002948673013342532,0.029879680914817963,0
rot1 GFN2 MD/normal modes,34,C60H58F14N2O10,144,0.0048582975216777775,0.0752428790836035,0
rot1 GFN2 MD/normal modes,35,C60H58F14N2O10,144,0.0030515418285811786,0.03636610784902938,0
rot1 GFN2 MD/normal modes,36,C60H58F14N2O10,144,0.0024811683766880754,0.01022062635077825,0
rot1 GFN2 MD/normal modes,37,C60H58F14N2O10,144,0.002436007936041327,0.012902428981487302,0
rot1 GFN2 MD/normal modes,38,C60H58F14N2O10,144,0.0048953046775718385,0.15339822602134578,0
rot1 GFN2 MD/normal modes,39,C60H58F14N2O10,144,0.0023033364373257056,0.014063944684914897,0
rot1 GFN2 MD/normal modes,40,C60H58F14N2O10,144,0.004180427115405938,0.024226841666058818,0
rot1 GFN2 MD/normal modes,41,C60H58F14N2O10,144,0.0069768115479689335,0.19212915165322786,0
rot1 GFN2 MD/normal modes,42,C60H58F14N2O10,144,0.00484411276730434,0.03448320281927364,0
rot1 GFN2 MD/normal modes,43,C60H58F14N2O10,144,0.004294362729943041,0.028663411109793868,0
rot1 GFN2 MD/normal modes,44,C60H58F14N2O10,144,0.005261588640823238,0.08784085096105865,0
rot1 GFN2 MD/normal modes,45,C60H58F14N2O10,144,0.0046744349793653,0.046057832679056276,0
rot1 GFN2 MD/normal modes,46,C60H58F14N2O10,144,0.0041222132910262044,0.082687338843214,0
rot1 GFN2 MD/normal modes,47,C60H58F14N2O10,144,0.003467727383991192,0.04169482674866243,0
rot1 GFN2 MD/normal modes,48,C60H58F14N2O10,144,0.0027481438178358197,0.021745712997437217,0
rot1 GFN2 MD/normal modes,49,C60H58F14N2O10,144,0.004350731478414766,0.01741542975284538,0
rot1 GFN2 MD/normal modes,50,C60H58F14N2O10,144,0.0035911369360220186,0.0322233381546736,0
rot1 GFN2 MD/normal modes,51,C60H58F14N2O10,144,0.003926927775212068,0.02659786172989398,0
rot1 GFN2 MD/normal modes,52,C60H58F14N2O10,144,0.0034291175128933443,0.10665243099500399,0
rot1 GFN2 MD/normal modes,53,C60H58F14N2O10,144,0.0033416907337957013,0.015314868005716353,0
rot1 GFN2 MD/normal modes,54,C60H58F14N2O10,144,0.002246165174274028,0.022809654526167455,0
rot1 GFN2 MD/normal modes,55,C60H58F14N2O10,144,0.0041578061021660725,0.09374527161264956,0
rot1 GFN2 MD/normal modes,56,C60H58F14N2O10,144,0.004164531611477553,0.03293507164588294,0
rot1 GFN2 MD/normal modes,57,C60H58F14N2O10,144,0.00264919231993689,0.013145533718459501,0
rot1 GFN2 MD/normal modes,58,C60H58F14N2O10,144,0.004404024117799788,0.034523901004459345,0
rot1 GFN2 MD/normal modes,59,C60H58F14N2O10,144,0.004380961150806263,0.022491155236668448,0
rot1 GFN2 MD/normal modes,60,C60H58F14N2O10,144,0.005215040533983804,0.027801738557256206,0
rot1 GFN2 MD/normal modes,61,C60H58F14N2O10,144,0.004010259529682236,0.017942721563029007,0
rot1 GFN2 MD/normal modes,62,C60H58F14N2O10,144,0.002946825119259395,0.014331272837924125,0
rot1 GFN2 MD/normal modes,63,C60H58F14N2O10,144,0.005265073705780902,0.08805174064206045,0
rot1 GFN2 MD/normal modes,64,C60H58F14N2O10,144,0.005756436466951656,0.08412134493771584,0
rot1 GFN2 MD/normal modes,65,C60H58F14N2O10,144,0.002214957810058583,0.008915091188251734,0
rot1 GFN2 MD/normal modes,66,C60H58F14N2O10,144,0.005043272646230811,0.1247851284719661,0
rot1 GFN2 MD/normal modes,67,C60H58F14N2O10,144,0.0024232632675533425,0.015056428300864733,0
rot1 GFN2 MD/normal modes,68,C60H58F14N2O10,144,0.00398275831917119,0.04642167870413105,0
rot1 GFN2 MD/normal modes,69,C60H58F14N2O10,144,0.002802689740032575,0.031201461234973693,0
rot1 GFN2 MD/normal modes,70,C60H58F14N2O10,144,0.0054396428750110495,0.09342090528607883,0
rot1 GFN2 MD/normal modes,71,C60H58F14N2O10,144,0.004448456317429937,0.09326080073205767,0
rot1 GFN2 MD/normal modes,72,C60H58F14N2O10,144,0.004126206466660675,0.05530611348267722,0
rot1 GFN2 MD/normal modes,73,C60H58F14N2O10,144,0.002610613059201707,0.016076545949734955,0
rot1 GFN2 MD/normal modes,74,C60H58F14N2O10,144,0.0041296675680264705,0.016330833347977247,0
rot1 GFN2 MD/normal modes,75,C60H58F14N2O10,144,0.0033816839296267787,0.06537790484761752,0
rot1 GFN2 MD/normal modes,76,C60H58F14N2O10,144,0.002775641666805623,0.016924502373796613,0
rot1 GFN2 MD/normal modes,77,C60H58F14N2O10,144,0.0037745370596455052,0.20031212924953645,0
rot1 GFN2 MD/normal modes,78,C60H58F14N2O10,144,0.002509409831943118,0.017317309416460813,0
rot1 GFN2 MD/normal modes,79,C60H58F14N2O10,144,0.00241825268271942,0.015371603974453252,0
rot1 GFN2 MD/normal modes,80,C60H58F14N2O10,144,0.004118495231225667,0.023333158112221142,0
rot1 GFN2 MD/normal modes,81,C60H58F14N2O10,144,0.0057501028052016736,0.10521325138273507,0
rot1 GFN2 MD/normal modes,82,C60H58F14N2O10,144,0.004053110823447173,0.04180727903027559,0
rot1 GFN2 MD/normal modes,83,C60H58F14N2O10,144,0.002801970752327849,0.014114215212250536,0
rot1 GFN2 MD/normal modes,84,C60H58F14N2O10,144,0.004049447819134323,0.03371249420625366,0
rot1 GFN2 MD/normal modes,85,C60H58F14N2O10,144,0.0031023046744733294,0.04297340032161234,0
rot1 GFN2 MD/normal modes,86,C60H58F14N2O10,144,0.004403661183123946,0.04371481779914388,0
rot1 GFN2 MD/normal modes,87,C60H58F14N2O10,144,0.0047741922943950734,0.02893614282285506,0
rot1 GFN2 MD/normal modes,88,C60H58F14N2O10,144,0.002117934294721049,0.008738420764558219,0
rot1 GFN2 MD/normal modes,89,C60H58F14N2O10,144,0.0029595466047650835,0.021501949205979698,0
rot1 GFN2 MD/normal modes,90,C60H58F14N2O10,144,0.0030376624934419106,0.05718626926668402,0
rot1 GFN2 MD/normal modes,91,C60H58F14N2O10,144,0.0028754588190780775,0.03167879280162056,0
rot1 GFN2 MD/normal modes,92,C60H58F14N2O10,144,0.0038660477018555572,0.05068205560350192,0
rot1 GFN2 MD/normal modes,93,C60H58F14N2O10,144,0.002747901347874061,0.02177079674307858,0
rot1 GFN2 MD/normal modes,94,C60H58F14N2O10,144,0.0023075263281326203,0.02296146471408489,0
rot1 GFN2 MD/normal modes,95,C60H58F14N2O10,144,0.004553256383442905,0.022387474064281543,0
rot1 GFN2 MD/normal modes,96,C60H58F14N2O10,144,0.004074898074413467,0.021499673873081493,0
rot1 GFN2 MD/normal modes,97,C60H58F14N2O10,144,0.004603851444511371,0.06383136101317877,0
rot1 GFN2 MD/normal modes,98,C60H58F14N2O10,144,0.004538154586661937,0.06733254714014802,0
rot1 GFN2 MD/normal modes,99,C60H58F14N2O10,144,0.0024193661010848844,0.00868978850828428,0
rot1 GFN2 MD/normal modes,100,C60H58F14N2O10,144,0.002892235408678102,0.023074613776598474,0
rot1 GFN2 MD/normal modes,101,C60H58F14N2O10,144,0.0025050605641453697,0.011398509933697842,0
rot1 GFN2 MD/normal modes,102,C60H58F14N2O10,144,0.005260371194005137,0.08801794140076702,0
rot1 GFN2 MD/normal modes,103,C60H58F14N2O10,144,0.0021908439645673744,0.012316603092207501,0
rot1 GFN2 MD/normal modes,104,C60H58F14N2O10,144,0.004857591781379234,0.09304581712716342,0
rot1 GFN2 MD/normal modes,105,C60H58F14N2O10,144,0.0026826024605727796,0.01900401919064354,0
rot1 GFN2 MD/normal modes,106,C60H58F14N2O10,144,0.005256232804245973,0.087816111398756,0
rot1 GFN2 MD/normal modes,107,C60H58F14N2O10,144,0.002937622264806173,0.02908963916451568,0
rot1 GFN2 MD/normal modes,108,C60H58F14N2O10,144,0.0033611800627709556,0.09502412334847032,0
rot1 GFN2 MD/normal modes,109,C60H58F14N2O10,144,0.003957639969948899,0.016074901759321913,0
rot1 GFN2 MD/normal modes,110,C60H58F14N2O10,144,0.005295037756508161,0.11294114895833418,0
rot1 GFN2 MD/normal modes,111,C60H58F14N2O10,144,0.004810470471261924,0.05285269816329241,0
rot1 GFN2 MD/normal modes,112,C60H58F14N2O10,144,0.005256747071592098,0.08777414760573288,0
rot1 GFN2 MD/normal modes,113,C60H58F14N2O10,144,0.0030571460057715236,0.03684857650136908,0
rot1 GFN2 MD/normal modes,114,C60H58F14N2O10,144,0.0038847469021565323,0.016758833928653072,0
rot1 GFN2 MD/normal modes,115,C60H58F14N2O10,144,0.0013976001777880485,0.008899215051732412,0
rot1 GFN2 MD/normal modes,116,C60H58F14N2O10,144,0.0042269089341366965,0.05775627028954233,0
rot1 GFN2 MD/normal modes,117,C60H58F14N2O10,144,0.001836584911448856,0.009844040026095957,0
rot1 GFN2 MD/normal modes,118,C60H58F14N2O10,144,0.004777080558966935,0.10003334501497285,0
rot1 GFN2 MD/normal modes,119,C60H58F14N2O10,144,0.00437751516866452,0.026715471331532847,0
rot1 GFN2 MD/normal modes,120,C60H58F14N2O10,144,0.005270856849242903,0.08816270746582378,0
